started_at_utc,finished_at_utc,snapshot_date,api_requests,raw_records,unique_jobs,new_jobs,failed_requests,jobs_requiring_role_review,daily_file
2026-09-03T11:48:58.970502+00:00,2026-09-03T11:51:44.107482+00:00,2026-09-03,45,1763,1672,1672,0,0,data/daily/adzuna_jobs_2026-09-03.csv
2026-09-04T12:07:57.686503+00:00,2026-09-04T12:10:43.770478+00:00,2026-09-04,45,1803,1695,306,0,0,data/daily/adzuna_jobs_2026-09-04.csv
2026-09-05T11:16:04.638996+00:00,2026-09-05T11:18:49.796395+00:00,2026-09-05,45,1802,1698,272,0,0,data/daily/adzuna_jobs_2026-09-05.csv
2026-09-06T11:39:10.683191+00:00,2026-09-06T11:41:54.421869+00:00,2026-09-06,46,1802,1699,123,0,0,data/daily/adzuna_jobs_2026-09-06.csv
2026-09-07T13:30:32.786768+00:00,2026-09-07T13:33:17.491285+00:00,2026-09-07,45,1797,1708,190,0,1,data/daily/adzuna_jobs_2026-09-07.csv
2026-09-08T12:08:12.445735+00:00,2026-09-08T12:11:04.163822+00:00,2026-09-08,46,1837,1747,189,0,1,data/daily/adzuna_jobs_2026-09-08.csv
2026-09-09T12:20:27.477333+00:00,2026-09-09T12:23:31.731163+00:00,2026-09-09,46,1877,1774,210,0,2,data/daily/adzuna_jobs_2026-09-09.csv
2026-09-10T12:13:50.548253+00:00,2026-09-10T12:16:54.056735+00:00,2026-09-10,46,1866,1758,287,0,2,data/daily/adzuna_jobs_2026-09-10.csv
