job_key,snapshot_date_key,country_key,role_key,search_term,query_page,query_result_position,estimated_job_count
ch-5853961952,20260903,ch,DA,data analyst,1,19,34
ch-5853962010,20260903,ch,BA,business analyst,3,102,193
ch-5853962024,20260903,ch,DA,data analyst,1,18,34
ch-5854357121,20260903,ch,BA,business analyst,3,101,193
ch-5854358837,20260903,ch,BA,business analyst,2,100,193
ch-5854361495,20260903,ch,BA,business analyst,2,99,193
ch-5854361611,20260903,ch,DA,data analyst,1,17,34
ch-5854362058,20260903,ch,BA,business analyst,2,98,193
ch-5854362058,20260903,ch,BI,business intelligence analyst,1,1,2
ch-5854362058,20260903,ch,DA,data analyst,1,16,34
ch-5854362105,20260903,ch,BA,business analyst,2,97,193
ch-5854363607,20260903,ch,BA,business analyst,2,96,193
ch-5854383299,20260903,ch,BA,business analyst,2,95,193
ch-5854558152,20260903,ch,BA,business analyst,2,94,193
ch-5855235962,20260903,ch,BA,business analyst,2,93,193
ch-5855316718,20260903,ch,BA,business analyst,2,92,193
ch-5855319525,20260903,ch,BA,business analyst,2,91,193
ch-5856657226,20260903,ch,BA,business analyst,2,89,193
ch-5856657239,20260903,ch,BA,business analyst,2,90,193
ch-5856657614,20260903,ch,BA,business analyst,2,88,193
ch-5856657772,20260903,ch,BA,business analyst,2,87,193
ch-5856658307,20260903,ch,BA,business analyst,2,86,193
ch-5856658308,20260903,ch,BA,business analyst,2,85,193
ch-5856658308,20260903,ch,DA,data analyst,1,15,34
ch-5856658925,20260903,ch,BA,business analyst,2,84,193
ch-5856659676,20260903,ch,BA,business analyst,2,83,193
ch-5856659968,20260903,ch,BA,business analyst,2,82,193
ch-5856660061,20260903,ch,BA,business analyst,2,81,193
ch-5856741570,20260903,ch,BA,business analyst,2,80,193
ch-5856741699,20260903,ch,BA,business analyst,2,79,193
ch-5856742226,20260903,ch,BA,business analyst,2,78,193
ch-5858108261,20260903,ch,BA,business analyst,2,77,193
ch-5858108334,20260903,ch,BA,business analyst,2,76,193
ch-5858108492,20260903,ch,BA,business analyst,2,75,193
ch-5858108772,20260903,ch,BA,business analyst,2,74,193
ch-5858109433,20260903,ch,BA,business analyst,2,73,193
ch-5858109639,20260903,ch,BA,business analyst,2,72,193
ch-5858109692,20260903,ch,BA,business analyst,2,71,193
ch-5858191100,20260903,ch,BA,business analyst,2,70,193
ch-5858191337,20260903,ch,BA,business analyst,2,69,193
ch-5858191352,20260903,ch,DA,data analyst,1,14,34
ch-5858200279,20260903,ch,BA,business analyst,2,68,193
ch-5858218623,20260903,ch,BA,business analyst,2,67,193
ch-5858655034,20260903,ch,BA,business analyst,2,65,193
ch-5858655034,20260903,ch,DA,data analyst,1,12,34
ch-5858655041,20260903,ch,BA,business analyst,2,66,193
ch-5858655041,20260903,ch,DA,data analyst,1,13,34
ch-5858699531,20260903,ch,DA,data analyst,1,11,34
ch-5858930041,20260903,ch,BA,business analyst,2,64,193
ch-5858930090,20260903,ch,DA,data analyst,1,10,34
ch-5858930499,20260903,ch,DA,data analyst,1,9,34
ch-5858930900,20260903,ch,BA,business analyst,2,63,193
ch-5858930900,20260903,ch,DA,data analyst,1,8,34
ch-5858931856,20260903,ch,BA,business analyst,2,62,193
ch-5859562226,20260903,ch,BA,business analyst,2,61,193
ch-5859562509,20260903,ch,BA,business analyst,2,60,193
ch-5859562796,20260903,ch,BA,business analyst,2,59,193
ch-5859563096,20260903,ch,BA,business analyst,2,58,193
ch-5859623248,20260903,ch,BA,business analyst,2,57,193
ch-5859625118,20260903,ch,BA,business analyst,2,56,193
ch-5859625414,20260903,ch,BA,business analyst,2,55,193
ch-5859625738,20260903,ch,BA,business analyst,2,54,193
ch-5860025516,20260903,ch,BI,BI analyst,1,2,3
ch-5860025516,20260903,ch,BA,business analyst,2,53,193
