job_key,job_id,job_title,primary_role_family,title_role_family,selected_role_family,matched_role_families,matched_search_terms,search_term_count,role_family_count,role_resolution_method,role_review_required,company,company_disclosed,category,country_code,country,currency,location,city,region,location_hierarchy,location_area,latitude,longitude,workplace_type,contract_type,contract_time,published_at,published_date,publication_year,publication_month,publication_year_month,snapshot_date,days_since_publication,salary_min,salary_max,salary_midpoint,has_salary,salary_is_predicted,salary_invalid_nonpositive,job_description,job_url,collected_at_utc
de-5865068385,5865068385,Senior Integration Engineer & Consultant (m/w/d) - SERVICE 1 GmbH,Business Analyst,,Business Analyst,Business Analyst,business analyst,1,1,Single search family,False,SERVICE 1 GmbH,True,IT-Stellen,de,Germany,EUR,"Paderborn, Paderborn (Kreis)",Paderborn,Nordrhein-Westfalen,Deutschland | Nordrhein-Westfalen | Paderborn (Kreis) | Paderborn,"[""Deutschland"", ""Nordrhein-Westfalen"", ""Paderborn (Kreis)"", ""Paderborn""]",51.737096,8.753842,Not specified,Not specified,Not specified,2026-09-01 18:50:35+00:00,2026-09-01,2026,9,2026-09,2026-09-03,2,,,,False,False,False,"Du denkst in API-Flows statt in Silos? Du willst Integrationen bauen, die nicht nur funktionieren, sondern skalieren? Dann suchen wir Dich für die technische Umsetzung und Weiterentwicklung unserer Field Service SaaS-Plattform bei anspruchsvollen B2B-Kunden. Tätigkeiten Du entwickelst und wartest skalierbare Integrationen zwischen unserer Lösung und den Systemen unserer Kunden (ERP/CRM) Du setzt funktionale Datenmappings in robuste API-Flows um , u.a. mit Node.js und TypeScript Du integrierst S…",https://www.adzuna.de/details/5865068385?utm_medium=api&utm_source=aa0fc1e4,2026-09-03 11:27:21.693860+00:00
gb-5830787838,5830787838,Technical Product Owner – Equity Calculation (1 Year Fixed Term Contract),Business Analyst,,Business Analyst,Business Analyst,business analyst,1,1,Single search family,False,S&P Global,True,Accounting & Finance Jobs,gb,United Kingdom,GBP,"London, UK",London,London,UK | London,"[""UK"", ""London""]",,,Not specified,Contract,Full-time,2026-08-06 17:59:24+00:00,2026-08-06,2026,8,2026-08,2026-09-03,28,15392.0,15392.0,15392.0,True,False,False,"About the Role: Grade Level (for internal use): 11 The Team: Product Platform Design (PPD) is responsible for the design, build, and evolution of SPDJI’s core product platforms that support index creation, calculation, rebalance, analytics, and distribution. PPD operates using a product-led, service-based delivery model and is organised into value streams aligned to major business domains. The team works closely with Index Management, R&D, Operations, and Technology to deliver scalable, reusabl…",https://www.adzuna.co.uk/jobs/details/5830787838?utm_medium=api&utm_source=aa0fc1e4,2026-09-03 11:27:21.693860+00:00
gb-5794239972,5794239972,Platform Business Management Lead Analyst 1,Business Analyst,,Business Analyst,Business Analyst,business analyst,1,1,Single search family,False,Schroders,True,Accounting & Finance Jobs,gb,United Kingdom,GBP,"London, UK",London,London,UK | London,"[""UK"", ""London""]",51.503378,-0.139134,Not specified,Not specified,Full-time,2026-07-09 16:19:40+00:00,2026-07-09,2026,7,2026-07,2026-09-03,56,46764.52,46764.52,46764.52,True,True,False,"Description Who we’re looking for The Platform Business Management team plays a pivotal role in the smooth operation of the Global Operating Platform while simultaneously challenging the function to ensure operational excellence. This role is part of a global team, integrates strategy execution, risk management, stakeholder reporting, supplier governance and financial and headcount analysis. You will also support the business in implementing robust policies and practices, ensuring stringent gov…",https://www.adzuna.co.uk/jobs/details/5794239972?utm_medium=api&utm_source=aa0fc1e4,2026-09-03 11:27:21.693860+00:00
gb-5840401215,5840401215,Client Data Analyst 1 - 12 Month FTC,Data Analyst,Data Analyst,Data Analyst,Data Analyst,data analyst,1,1,Title rule,False,TP ICAP,True,Accounting & Finance Jobs,gb,United Kingdom,GBP,UK,,,UK,"[""UK""]",,,Not specified,Contract,Full-time,2026-08-13 16:31:26+00:00,2026-08-13,2026,8,2026-08,2026-09-03,21,57142.11,57142.11,57142.11,True,True,False,"Group Overview The TP ICAP Group is a world leading provider of market infrastructure. Our purpose is to provide clients with access to global financial and commodities markets, improving price discovery, liquidity, and distribution of data, through responsible and innovative solutions. Through our people and technology, we connect clients to superior liquidity and data solutions. The Group is home to a stable of premium brands. Collectively, TP ICAP is the largest interdealer broker in the wor…",https://www.adzuna.co.uk/jobs/details/5840401215?utm_medium=api&utm_source=aa0fc1e4,2026-09-03 11:27:21.693860+00:00
gb-5840332917,5840332917,Client Data Analyst 1 - 12 Month FTC,Data Analyst,Data Analyst,Data Analyst,Data Analyst,data analyst,1,1,Title rule,False,TP ICAP Group Services Ltd,True,Accounting & Finance Jobs,gb,United Kingdom,GBP,"Belfast, Northern Ireland",Belfast,Northern Ireland,UK | Northern Ireland | Belfast,"[""UK"", ""Northern Ireland"", ""Belfast""]",,,Not specified,Contract,Not specified,2026-08-13 15:18:15+00:00,2026-08-13,2026,8,2026-08,2026-09-03,21,53861.27,53861.27,53861.27,True,True,False,"Group Overview The TP ICAP Group is a world leading provider of market infrastructure. Our purpose is to provide clients with access to global financial and commodities markets, improving price discovery, liquidity, and distribution of data, through responsible and innovative solutions. Through our people and technology, we connect clients to superior liquidity and data solutions. The Group is home to a stable of premium brands. Collectively, TP ICAP is the largest interdealer broker in the wor…",https://www.adzuna.co.uk/jobs/details/5840332917?utm_medium=api&utm_source=aa0fc1e4,2026-09-03 11:27:21.693860+00:00
